date,pic_corr,roll_corr,gap,pic_cov,roll_cov,gap_cov,cos,real_corr,err,err_cov,pair21,pv63,jm21,crowded,q
1993-01-20,0.614312,0.466366,0.147945,5.47869e-06,4.44873e-06,1.02996e-06,0.754056,0.783763,0.317397,4.94081e-06,0.00813812,0.0458883,0,0,3
1993-01-21,0.613866,0.465819,0.148048,5.46902e-06,4.43953e-06,1.02949e-06,0.754056,0.781948,0.31613,4.84123e-06,0.0103117,0.0456136,0,0,3
1993-01-26,0.614105,0.466653,0.147452,5.4766e-06,4.45713e-06,1.01947e-06,0.754056,0.786698,0.320045,5.1224e-06,0.0141276,0.0459781,0,0,3
1993-01-27,0.613937,0.475392,0.138546,5.47393e-06,4.53715e-06,9.36776e-07,0.754056,0.794044,0.318652,5.33237e-06,0.0146799,0.0466077,0,0,3
1993-01-28,0.616877,0.474905,0.141972,5.48945e-06,4.533e-06,9.56453e-07,0.754056,0.796007,0.321102,5.72249e-06,0.0196179,0.0464745,0,0,3
1993-01-29,0.757716,0.478726,0.27899,7.12898e-06,4.5611e-06,2.56787e-06,0.885449,0.684081,0.205355,3.12641e-06,0.0140949,0.0450314,0,1,3
1993-02-02,0.758036,0.48704,0.270996,7.11225e-06,4.71715e-06,2.3951e-06,0.885449,0.690388,0.203347,2.9627e-06,0.0114943,0.0448367,0,1,3
1993-02-03,0.756005,0.491159,0.264846,7.09156e-06,4.69817e-06,2.39339e-06,0.885449,0.685737,0.194578,2.987e-06,0.00675344,0.0446855,0,1,3
1993-02-04,0.754492,0.492643,0.261849,7.03274e-06,4.71853e-06,2.31421e-06,0.885449,0.687694,0.195051,3.02092e-06,0.00945832,0.0446913,0,1,3
1993-02-05,0.75324,0.486086,0.267155,7.01645e-06,4.60444e-06,2.41201e-06,0.885449,0.662817,0.176732,2.8121e-06,0.00606913,0.0449491,0,1,3
1993-02-09,0.754113,0.487663,0.26645,7.03248e-06,4.63231e-06,2.40017e-06,0.885449,0.659469,0.171806,2.70336e-06,0.00685952,0.0448094,0,1,3
1993-02-10,0.755331,0.487562,0.267769,7.07289e-06,4.63025e-06,2.44264e-06,0.885449,0.67818,0.190618,2.96189e-06,0.00714975,0.0444018,0,1,3
1993-02-11,0.752273,0.488909,0.263364,7.03287e-06,4.66441e-06,2.36846e-06,0.885449,0.678666,0.189757,2.80288e-06,0.000467074,0.0438996,0,1,3
1993-02-12,0.753055,0.489679,0.263376,7.0363e-06,4.68666e-06,2.34964e-06,0.885449,0.70121,0.211531,3.6061e-06,-0.00458744,0.0436228,0,1,3
1993-02-17,0.745544,0.493484,0.25206,6.77215e-06,4.72567e-06,2.04648e-06,0.885449,0.698292,0.204808,3.60458e-06,-0.00690064,0.0434157,0,1,3
