ticker,series_id,fund_name,type,first_year,last_year
TMED,S000092023,T. Rowe Price Health Care ETF,equity_longonly,2025,2025
TIER,S000092024,T. Rowe Price International Equity Research ETF,equity_longonly,2025,2025
TURF,S000092025,T. Rowe Price Natural Resources ETF,equity_longonly,2025,2025
BASG,S000092068,Brown Advisory Sustainable Growth ETF,equity_longonly,2025,2025
BASV,S000092069,Brown Advisory Sustainable Value ETF,equity_longonly,2025,2025
TBLU,S000092074,Tortoise Global Water Fund,equity_longonly,2025,2025
TPYP,S000092075,Tortoise North American Pipeline Fund,equity_longonly,2025,2025
RW,S000092079,Rainwater Equity ETF,equity_longonly,2026,2026
TNGY,S000092090,Tortoise Energy Fund,equity_longonly,2025,2025
JAPN,S000092105,Horizon Kinetics Japan Owner Operator ETF  ,equity_longonly,2025,2025
SPCZ,S000092118,RiverNorth Enhanced Pre-Merger SPAC ETF,equity_longonly,2025,2025
FLDZ,S000092119,RiverNorth Patriot ETF,equity_longonly,2025,2025
DIVZ,S000092120,Polen Dividend Income ETF,equity_longonly,2025,2025
ERNZ,S000092121,TrueShares Active Yield ETF,equity_longonly,2025,2025
RNWZ,S000092122,TrueShares Eagle Global Renewable Energy Income ETF,equity_longonly,2025,2025
LRNZ,S000092123,"TrueShares Technology, AI & Deep Learning ETF",equity_longonly,2025,2025
SEMG,S000092183,Suncoast Select Growth ETF,equity_longonly,2026,2026
VNIE,S000092345,Vontobel International Equity Active ETF,equity_longonly,2025,2025
HGRO,S000092395,Hedgeye Quality Growth ETF,equity_longonly,2025,2025
LOGO,S000092481,Alpha Brands Consumption Leaders ETF,equity_longonly,2025,2025
OTGL,S000092684,OTG Latin America ETF,equity_longonly,2026,2026
EMOP,S000092962,AB Emerging Markets Opportunities ETF,equity_longonly,2025,2025
JDVL,S000093162,John Hancock Disciplined Value Select ETF,equity_longonly,2026,2026
GQGU,S000093212,GQG US Equity ETF,equity_longonly,2026,2026
CLCG,S000093217,Crossmark Large Cap Growth ETF,equity_longonly,2025,2025
CLCV,S000093218,Crossmark Large Cap Value ETF,equity_longonly,2025,2025
STOX,S000093284,Horizon Core Equity ETF,equity_longonly,2025,2025
YNOT,S000093285,Horizon Digital Frontier ETF,equity_longonly,2025,2025
DIVN,S000093286,Horizon Dividend Income ETF,equity_longonly,2025,2025
SFTY,S000093288,Horizon Managed Risk ETF,equity_longonly,2025,2025
HUMN,S000093377,Roundhill Humanoid Robotics ETF,equity_longonly,2025,2025
ARMY,S000093386,Tema International Defense ETF,equity_longonly,2026,2026
ITOL,S000093387,Tema International Durable Quality ETF,equity_longonly,2026,2026
ASCE,S000093515,Allspring SMID Core ETF,equity_longonly,2025,2025
IQSZ,S000093577,Invesco Global Equity Net Zero ETF,equity_longonly,2025,2025
ASCI,S000093583,abrdn International Small Cap Active ETF,equity_longonly,2025,2025
TIIV,S000093585,AAM Todd International Intrinsic Value ETF,equity_longonly,2025,2025
QUIZ,S000093685,Zacks Quality International ETF,equity_longonly,2025,2025
TCAI,S000093687,Tortoise AI Infrastructure ETF,equity_longonly,2025,2025
IGGY,S000093934,AB International Growth ETF,equity_longonly,2025,2025
GLIF,S000094312,Lazard Listed Infrastructure ETF,equity_longonly,2025,2025
SYZ,S000094313,Lazard US Systematic Small Cap Equity ETF,equity_longonly,2025,2025
DHLX,S000094326,Diamond Hill Large Cap Concentrated ETF,equity_longonly,2025,2025
HYP,S000094502,Golden Eagle Dynamic Hypergrowth ETF,equity_longonly,2025,2025
JHAI,S000094567,JANUS HENDERSON GLOBAL ARTIFICIAL INTELLIGENCE ETF,equity_longonly,2025,2025
MKTN,S000094625,Federated Hermes MDT Market Neutral ETF,equity_longshort,2025,2025
HEDG,S000094633,Equable Shares Hedged Equity ETF,equity_longshort,2025,2025
SGRT,S000094702,SMART Earnings Growth 30 ETF,equity_longonly,2025,2025
STRN,S000094703,SMART Trend 25 ETF,equity_longonly,2025,2025
DRES,S000094780,GMO Domestic Resilience ETF,equity_longonly,2026,2026
MMID,S000094824,MFS Active Mid Cap ETF,equity_longonly,2026,2026
FRIZ,S000094832,Franklin Dividend Growth ETF,equity_longonly,2026,2026
REGS,S000095310,Columbia Large Cap Growth ETF,equity_longonly,2026,2026
REMC,S000095312,Columbia Research Enhanced Mid Cap ETF,equity_longonly,2026,2026
RESM,S000095313,Columbia Research Enhanced Small Cap ETF,equity_longonly,2026,2026
TINS,S000095580,Templeton International Insights ETF,equity_longonly,2026,2026
PGRI,S000095581,Putnam International Stock ETF,equity_longonly,2026,2026
BRCE,S000095645,MFS Blended Research Core Equity ETF,equity_longonly,2026,2026
BRIE,S000095646,MFS Blended Research International Equity ETF,equity_longonly,2026,2026
TACU,S000095884,T. Rowe Price Active Core U.S. Equity ETF,equity_longonly,2025,2025
KDVD,S000096300,Keeley Dividend ETF,equity_longonly,2025,2025
AQEC,S000096309,AQE Core ETF,equity_longonly,2025,2025
RONB,S000096481,Baron First Principles ETF,equity_longonly,2025,2025
BCGD,S000096482,Baron Global Durable Advantage ETF,equity_longonly,2025,2025
BCSM,S000096483,Baron SMID Cap ETF,equity_longonly,2025,2025
BCFN,S000096484,Baron Financials ETF,equity_longonly,2025,2025
BCTK,S000096485,Baron Technology ETF,equity_longonly,2025,2025
PRMR,S000097065,PeakShares RMR Prime Equity ETF,equity_longonly,2026,2026
IVSI,S000097228,Applied Finance IVS International Large ETF ,equity_longonly,2025,2025
IVSS,S000097230,Applied Finance IVS US SMID ETF,equity_longonly,2025,2025
FSML,S000097279,Franklin Small Cap Enhanced ETF,equity_longonly,2026,2026
CSIO,S000097367,Cohen & Steers Infrastructure Opportunities Active ETF,equity_longonly,2026,2026
NLSI,S000097595,NEOS Long/Short Equity Income ETF,equity_longshort,2025,2025
GAID,S000097909,Guinness Atkinson International Dividend Builder ETF,equity_longonly,2025,2025
GAUD,S000097910,Guinness Atkinson US Dividend Builder ETF,equity_longonly,2025,2025
FRWD,S000098706,Nomura Transformational Technologies ETF,equity_longonly,2026,2026
GOLS,S000099690,Gabelli Opportunities in Live and Sports ETF,equity_longonly,2025,2025
