ticker,name_type,phi_63,phibar_63,status_book,n_advisers,crds,adviser_names,text_paths,coverage
DRAI,allocation_fof,0.6098,0.6585,,2,329860;171412,"Draco Evolution Corp | Empowered Funds, LLC d/b/a EA Advisers",adv_data/brochures/171412/text.txt,on_disk
DUKH,allocation_fof,0.7325,0.8413,,2,145634;151197,"Ocean Park Asset Management, LLC | Exchange Traded Concepts, LLC",adv_data/brochures/145634/text.txt;adv_data/brochures/151197/text.txt,on_disk
DUKQ,allocation_fof,0.6465,0.807,,2,145634;151197,"Ocean Park Asset Management, LLC | Exchange Traded Concepts, LLC",adv_data/brochures/145634/text.txt;adv_data/brochures/151197/text.txt,on_disk
DUKX,allocation_fof,0.5259,0.7204,,2,145634;151197,"Ocean Park Asset Management, LLC | Exchange Traded Concepts, LLC",adv_data/brochures/145634/text.txt;adv_data/brochures/151197/text.txt,on_disk
DUKZ,allocation_fof,0.6617,0.8027,,2,145634;151197,"Ocean Park Asset Management, LLC | Exchange Traded Concepts, LLC",adv_data/brochures/145634/text.txt;adv_data/brochures/151197/text.txt,on_disk
DVDN,equity_longonly,0.4495,0.5986,,3,171004;286622;316562,"Vident Asset Management | Vident Asset Management | Kingsbarn Capital Management, LLC",adv_data/brochures/171004/text.txt;adv_data/brochures/286622/text.txt;adv_data/brochures/316562/text.txt,on_disk
DYFI,allocation_fof,0.5558,0.7294,,2,164201;299658,"Tidal Investments, LLC | IDX Advisors, LLC",adv_data/brochures/164201/text.txt,on_disk
EBLU,equity_longonly,0.9659,0.9804,index,4,123711;151197;213515;171004,"Tortoise Capital Advisors, LLC | Exchange Traded Concepts, LLC | Tortoise Index Solutions, LLC | Vident Investment Advisory, LLC",adv_data/brochures/123711/text.txt;adv_data/brochures/151197/text.txt;adv_data/brochures/171004/text.txt,on_disk
ERUS,equity_longonly,0.8822,0.9363,delisted,1,105247,BlackRock Fund Advisors,adv_data/brochures/105247/text.txt,on_disk
FCPI,equity_longonly,0.7966,0.8957,index,2,115504;108281,"Geode Capital Management, LLC | Fidelity Management & Research Company LLC",adv_data/brochures/115504/text.txt;adv_data/brochures/108281/text.txt,on_disk
FCTE,allocation_fof,0.3755,0.6296,,2,331301;164201,"3Fourteen & SMI Advisory Services, LLC | Tidal Investments, LLC",adv_data/brochures/164201/text.txt,on_disk
FDAT,allocation_fof,0.5022,0.6619,,2,164201;297082,Tidal Investments LLC | Family Dynasty Advisors LLC,adv_data/brochures/164201/text.txt;adv_data/brochures/297082/text.txt,on_disk
FDIF,allocation_fof,0.9983,0.9991,,4,108281;108273;148239;148045,Fidelity Management & Research Company LLC | FMR Investment Management (UK) Limited | Fidelity Management & Research (Japan) Limited | Fidelity Management & Research (Hong Kong) Limited,adv_data/brochures/108281/text.txt;adv_data/brochures/108273/text.txt;adv_data/brochures/148239/text.txt;adv_data/brochures/148045/text.txt,on_disk
FDLO,equity_longonly,0.9272,0.9624,index,3,108617;108281;115504,"FMR Co., Inc. | Fidelity Management & Research Company LLC | Geode Capital Management, LLC",adv_data/brochures/108281/text.txt;adv_data/brochures/115504/text.txt,on_disk
FDMO,equity_longonly,0.8253,0.9101,index,3,108617;115504;108281,"FMR Co., Inc. | Geode Capital Management, LLC | Fidelity Management & Research Company LLC",adv_data/brochures/115504/text.txt;adv_data/brochures/108281/text.txt,on_disk
FDRR,equity_longonly,0.9625,0.9808,index,3,108617;115504;108281,"FMR Co., Inc. | Geode Capital Management, LLC | Fidelity Management & Research Company LLC",adv_data/brochures/115504/text.txt;adv_data/brochures/108281/text.txt,on_disk
FDVV,equity_longonly,0.9295,0.9639,index,3,108617;108281;115504,"FMR Co., Inc. | Fidelity Management & Research Company LLC | Geode Capital Management, LLC",adv_data/brochures/108281/text.txt;adv_data/brochures/115504/text.txt,on_disk
FFHG,allocation_fof,0.852,0.9147,unknown,1,153467,"FormulaFolios Investments, LLC",,bulk_needed
FFND,equity_longonly,0.8867,0.9405,,1,313973,The Future Fund LLC,adv_data/brochures/313973/text.txt,on_disk
FIDI,equity_longonly,0.8338,0.9026,index,3,108617;108281;115504,"FMR Co., Inc. | Fidelity Management & Research Company LLC | Geode Capital Management, LLC",adv_data/brochures/108281/text.txt;adv_data/brochures/115504/text.txt,on_disk
FIVA,equity_longonly,0.796,0.8904,index,3,108617;108281;115504,"FMR Co., Inc. | Fidelity Management & Research Company LLC | Geode Capital Management, LLC",adv_data/brochures/108281/text.txt;adv_data/brochures/115504/text.txt,on_disk
FLDZ,equity_longonly,0.8691,0.9271,,2,122020;306600,"RiverNorth Capital Management, LLC  | TrueMark Investments, LLC",adv_data/brochures/122020/text.txt,on_disk
FM,equity_longonly,0.928,0.9584,index,1,105247,BlackRock Fund Advisors,adv_data/brochures/105247/text.txt,on_disk
FPAG,equity_longonly,0.9495,0.972,,1,141823,"FIRST PACIFIC ADVISORS, LP",adv_data/brochures/141823/text.txt,on_disk
FQAL,equity_longonly,0.9547,0.9767,index,3,108617;115504;108281,"FMR Co., Inc. | Geode Capital Management, LLC | Fidelity Management & Research Company LLC",adv_data/brochures/115504/text.txt;adv_data/brochures/108281/text.txt,on_disk
FUNL,equity_longonly,0.8814,0.9367,,1,107852,CornerCap Fundametrics Large-Cap ETF,adv_data/brochures/107852/text.txt,on_disk
FVAL,equity_longonly,0.9453,0.9719,index,3,108617;115504;108281,"FMR Co., Inc. | Geode Capital Management, LLC | Fidelity Management & Research Company LLC",adv_data/brochures/115504/text.txt;adv_data/brochures/108281/text.txt,on_disk
GFGF,equity_longonly,0.8837,0.9387,unknown,2,171412;316414,"Empowered Funds, LLC d/b/a EA Advisers | GuruFocus Investments, LLC",adv_data/brochures/171412/text.txt;adv_data/brochures/316414/text.txt,on_disk
GGM,allocation_fof,0.2606,0.5626,,3,159042;111509;115332,"Penserra Capital Management LLC | GGM Wealth Advisors | Waverly Advisors, LLC",adv_data/brochures/159042/text.txt;adv_data/brochures/111509/text.txt;adv_data/brochures/115332/text.txt,on_disk
GHTA,allocation_fof,0.4979,0.713,,1,312912,"Goose Hollow Capital Management, LLC",adv_data/brochures/312912/text.txt,on_disk
GLIF,equity_longonly,0.9029,0.9428,unknown,1,122836,Lazard Asset Management LLC,adv_data/brochures/122836/text.txt,on_disk
GLRY,equity_longonly,0.8262,0.9057,index,2,305092;171988,"SevenOneSeven Capital Management, LTD | CWM Advisors, LLC",adv_data/brochures/305092/text.txt;adv_data/brochures/171988/text.txt,on_disk
GSID,equity_longonly,0.8545,0.8904,index,1,107738,"Goldman Sachs Asset Management, L.P.",adv_data/brochures/107738/text.txt,on_disk
GSUS,equity_longonly,0.9937,0.9966,index,1,107738,"Goldman Sachs Asset Management, L.P.",adv_data/brochures/107738/text.txt,on_disk
HAPY,equity_longonly,0.8604,0.9285,index,1,113402,"Harbor Capital Advisors, Inc.",,bulk_needed
HAUS,equity_longonly,0.9529,0.9744,,2,164201;317979,Tidal Investments LLC | Armada ETF Advisors LLC,adv_data/brochures/164201/text.txt,on_disk
HDIV,equity_longonly,0.5653,0.7804,unknown,1,151197,"Exchange Traded Concepts, LLC",adv_data/brochures/151197/text.txt,on_disk
IECS,equity_longonly,0.9889,0.9929,delisted,1,105247,BlackRock Fund Advisors,adv_data/brochures/105247/text.txt,on_disk
IEDI,equity_longonly,0.9872,0.9936,delisted,1,105247,BlackRock Fund Advisors,adv_data/brochures/105247/text.txt,on_disk
IEFN,equity_longonly,0.9788,0.9872,delisted,1,105247,BlackRock Fund Advisors,adv_data/brochures/105247/text.txt,on_disk
